step;Mes;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess;HH
402;18;29;14;3;4;355639;50;4.57
403;18;29;14;4;4;454161;0;4.57
404;19;19;5;0;9;48236;440;5.72
405;19;19;5;1;9;119746;380;5.72
406;19;19;5;2;9;239839;300;5.72
407;19;19;5;3;9;360260;260;5.72
408;19;19;5;4;9;480542;260;5.72
409;19;19;5;5;9;600461;180;5.72
410;19;19;5;6;9;722527;80;5.72
411;19;19;5;7;9;843074;40;5.72
412;19;19;5;9;9;1025227;0;5.72
413;19;20;2;0;9;48236;800;5.72
414;19;20;2;1;9;118723;650;5.72
415;19;20;2;2;9;238677;600;5.72
416;19;20;2;9;9;1082980;0;5.72
417;19;21;0;0;0;48236;0;5.72
418;19;22;0;0;0;48236;0;5.72
419;19;23;0;0;0;48236;0;5.72
420;19;24;0;0;0;48236;0;5.72
421;19;25;0;0;0;48236;0;5.72
422;19;26;0;0;0;48236;0;5.72
423;19;27;0;0;0;48236;0;5.72
424;19;28;0;0;0;48236;0;5.72
425;19;29;0;0;0;48236;0;5.72
426;19;30;13;0;5;48236;115;5.72
427;19;30;13;1;5;122269;100;5.72
428;19;30;13;2;5;241614;85;5.72
429;19;30;13;3;5;361963;46;5.72
430;19;30;13;4;5;460625;15;5.72
431;19;30;13;5;5;530818;-8;5.72
432;19;30;13;5.1;5;478173;0;5.72
433;20;20;3;0;14;48236;633;5.72
434;20;20;3;1;14;119288;467;5.72
435;20;20;3;2;14;241233;367;5.72
436;20;20;3;3;14;363907;333;7.48
437;20;20;3;14;14;1648919;0;7.48
438;20;21;2;0;15;48236;800;7.48
439;20;21;2;1;15;121236;750;7.48
440;20;21;2;2;15;241383;700;7.48
441;20;21;2;3;15;364047;700;7.48
442;20;22;0;0;10;48236;0;7.48
443;20;23;0;0;10;48236;0;7.48
444;20;24;0;0;10;48236;0;7.48
445;20;25;0;0;10;48236;0;7.48
446;20;26;0;0;10;48236;0;7.48
447;20;27;0;0;10;48236;0;7.48
448;20;28;0;0;10;48236;0;7.48
449;20;29;1;0;10;48236;1100;7.48
450;20;29;1;1;10;119505;1000;7.48
451;20;29;1;2;10;237919;800;7.48
452;20;29;1;3;10;359228;700;7.48
453;20;29;1;4;10;479808;600;7.48
454;20;30;0;0;0;48236;0;7.48
455;20;31;12;0;9;48236;150;7.48
456;20;31;12;1;9;118390;150;7.48
457;20;31;12;2;9;239776;125;7.48
458;20;31;12;3;9;361326;92;7.48
459;20;31;12;4;9;482558;75;7.48
460;20;31;12;5;9;601406;42;7.48
461;20;31;12;6;9;700049;25;7.48
462;20;31;12;7;9;784255;17;7.48
463;20;31;12;8;9;854409;8;7.48
464;20;31;12;9;9;928278;0;7.48
465;21;21;1;0;40;48236;1500;8.7
466;21;21;1;1;40;120276;1300;8.7
467;21;21;1;2;40;241619;1300;8.7
468;21;21;1;3;40;364577;1300;8.7
469;21;21;1;4;40;482876;1100;8.7
470;21;21;1;5;40;604055;1100;8.7
471;21;21;1;6;40;724833;1100;8.7
472;21;21;1;7;40;844820;1100;8.7
473;21;21;1;8;40;967667;0;8.7
474;21;22;3;0;31;48236;767;8.7
475;21;22;3;1;31;122119;733;8.7
476;21;22;3;2;31;242859;733;8.7
477;21;22;3;3;31;361577;733;8.7
478;21;22;3;4;31;481376;667;8.7
479;21;22;3;5;31;601233;667;8.7
480;21;22;3;6;31;721707;667;8.7
481;21;22;3;7;31;841713;667;8.7
482;21;22;3;8;31;961382;600;8.7
483;21;22;3;9;31;1080351;467;8.7
484;21;22;3;10;31;1201149;467;8.7
485;21;22;3;11;31;1321078;433;8.7
486;21;22;3;12;31;1441436;433;8.7
487;21;22;3;13;31;1562567;433;8.7
488;21;22;3;14;31;1681193;433;8.7
489;21;22;3;15;31;1803231;433;8.7
490;21;22;3;16;31;1923285;433;8.7
491;21;22;3;17;31;2044488;333;8.7
492;21;22;3;18;31;2167243;300;8.7
493;21;22;3;19;31;2285542;233;8.7
494;21;22;3;20;31;2405153;233;8.7
495;21;22;3;21;31;2525627;233;8.7
