Date;close;open;high;low;
19.06.2020;7,38;7,25;7,5;7,25;
18.06.2020;7,25;7,5;7,36;6,5;
17.06.2020;8,25;8,25;8,25;8,25;
16.06.2020;8,25;8,25;8,5;8,1;
15.06.2020;8,25;8,25;8,49;8,49;
12.06.2020;8,25;8,25;8,25;7,72;
11.06.2020;8,25;8,25;8,25;8,25;
10.06.2020;8,25;8,25;8,4;8,4;
09.06.2020;8,25;8,25;8,4;8;
08.06.2020;8,25;8,25;8,49;8;
05.06.2020;8,25;7,75;8,4;7,9;
04.06.2020;7,75;8,25;8,01;7,1;
03.06.2020;8,25;8;8,38;8,2;
02.06.2020;8;8;8,5;7,55;
01.06.2020;8;8;8,2;7,1;
29.05.2020;8;8,25;8,45;8;
28.05.2020;8,25;8,73;9;8,1;
27.05.2020;8,73;6,88;9;7,49;
26.05.2020;6,88;6,88;7,49;6,5;
22.05.2020;6,88;6,88;6,88;6,88;
21.05.2020;6,88;6,88;6,5;6,5;
20.05.2020;6,88;6,88;7,5;7,49;
19.05.2020;6,88;6,88;6,88;6,88;
18.05.2020;6,88;6,38;7,5;6,5;
15.05.2020;6,38;6,38;6,38;6,38;
14.05.2020;6,38;6,38;6,75;6;
13.05.2020;6,38;6,38;7;6,2;
12.05.2020;6,38;6,25;7,8;6,25;
11.05.2020;6,2;6,25;6,5;6,13;
07.05.2020;6,25;5,88;6,35;6,25;
06.05.2020;6;6;6,5;6,5;
05.05.2020;6;6;6,5;5,62;
04.05.2020;6;6;6,45;5,6;
01.05.2020;6;6;6;6;
30.04.2020;6;5,75;6;5,6;
29.04.2020;5,75;5,75;6;5,75;
28.04.2020;5,75;5,75;6,35;6;
27.04.2020;5,75;5,75;6;5,5;
24.04.2020;5,75;5,25;6,61;5,5;
23.04.2020;5,25;5,25;5,25;5;
22.04.2020;5,25;5,25;5,25;5,25;
21.04.2020;5,25;5,25;5,25;5,25;
20.04.2020;5,25;5,25;5,4;5,4;
17.04.2020;5,25;5,25;5,05;5;
16.04.2020;5,25;5,25;5,25;5,25;
15.04.2020;5,25;5;5,47;5,4;
14.04.2020;5;5;5;5;
09.04.2020;5;5,5;5,02;5;
08.04.2020;5,5;5,5;5,02;5,02;
07.04.2020;5,5;5,5;6,35;5;
06.04.2020;5,5;5,5;5,48;5,48;
03.04.2020;5,5;5,5;5,48;5,48;
02.04.2020;5,5;5,5;5,02;5;
01.04.2020;5,5;5,5;5,01;5;
31.03.2020;5,5;5,5;5,5;5,5;
30.03.2020;5,5;5,75;5,55;5,02;
27.03.2020;5,75;5,25;6;5;
26.03.2020;5,25;4,25;5,5;4,38;
25.03.2020;4,25;4,25;4,39;4,38;
24.03.2020;4,25;4,15;4,24;4,2;
23.03.2020;4,15;4,9;4;3,75;
20.03.2020;4,9;5,25;5;4,5;
19.03.2020;5,25;5,75;5,25;5,25;
18.03.2020;5,75;6,25;6,47;5;
17.03.2020;6,25;7,3;7,02;6;
16.03.2020;7,3;7,88;7,83;7,1;
10.03.2020;8,12;8,12;8,15;8,15;
09.03.2020;8,12;8,45;8,04;8,04;
06.03.2020;8,45;8,45;8,27;8,27;
05.03.2020;8,45;8,45;8,8;8,8;
04.03.2020;8,45;8,45;8,27;8,27;
03.03.2020;8,45;8,45;8,27;8,27;
02.03.2020;8,45;8,5;9;8,26;
28.02.2020;8,5;8,5;8,15;8,15;
27.02.2020;8,5;8,5;8,6;8,1;
26.02.2020;8,5;8,5;8,6;8,1;
25.02.2020;8,5;8,5;8,11;8,11;
24.02.2020;8,5;8,55;8,11;8,11;
21.02.2020;8,55;8,55;8,96;8,15;
20.02.2020;8,55;8,1;9;8,15;
19.02.2020;8,1;8,1;8,1;8;
18.02.2020;8,1;8,75;8,52;8;
17.02.2020;8,88;9,35;9,12;8,7;
14.02.2020;9,35;9,65;9,57;9,5;
13.02.2020;9,65;9,75;9,65;9;
11.02.2020;9,75;9,75;9,82;9,57;
10.02.2020;9,75;9,75;9,85;9,85;
07.02.2020;9,75;9,75;9,88;9,55;
06.02.2020;9,75;9,75;9,71;9,5;
05.02.2020;9,75;9,75;10;9,7;
04.02.2020;9,75;9,5;10;9;
03.02.2020;12,5;12,25;12,5;12,02;
30.01.2020;12,25;12,25;12,5;12,5;
29.01.2020;12,25;12,25;12,01;12,01;
28.01.2020;12,25;13;13;12;
27.01.2020;13;13,25;13;12,5;
24.01.2020;13,25;13,25;13,01;13,01;
23.01.2020;13,25;13,5;13,25;13,07;
22.01.2020;13,5;13,5;13,17;13,17;
21.01.2020;13,5;13,5;13,17;13,17;
20.01.2020;13,5;13,5;13,5;13,15;
17.01.2020;13,5;13,5;13,8;13,07;
16.01.2020;13,5;13,5;13,7;13,5;
15.01.2020;13,5;13,5;13,3;13,27;
14.01.2020;13,5;14,5;14,25;13,2;
13.01.2020;14,5;14,5;14,68;14,02;
10.01.2020;14,5;14,5;14,68;14,02;
08.01.2020;14,5;14,5;14,7;14,2;
07.01.2020;14,5;14,5;14,25;14;
06.01.2020;14,5;14,5;14,11;14,1;
31.12.2019;14,5;14,5;14,1;14,1;
30.12.2019;14,5;14,5;14,06;14,05;
27.12.2019;14,5;14,5;14,9;14,9;
24.12.2019;14,5;14,5;14,02;14,02;
23.12.2019;14,5;15;14,52;14,5;
16.12.2019;15;14,5;15,3;14,9;
13.12.2019;14,5;14,5;14,02;14;
12.12.2019;14,5;15;14,5;14,5;
11.12.2019;15;15;14,58;14,58;
10.12.2019;15;15,5;15,3;15;
09.12.2019;15,5;15,5;15,78;15,78;
04.12.2019;15,5;15,5;15,7;15;
03.12.2019;15,5;15,5;15,74;15,1;
02.12.2019;15,5;15,5;15,1;15,05;
29.11.2019;15,5;15,5;15,25;15,25;
28.11.2019;15,5;15,5;15,25;15,25;
27.11.2019;15,5;15,5;15,49;15,25;
26.11.2019;15,5;15,5;15,25;15,02;
22.11.2019;15,5;15,5;15;15;
20.11.2019;15,5;15,5;15,65;15;
18.11.2019;15,5;15,5;15,74;15,02;
15.11.2019;15,5;15,5;15,75;15,75;
14.11.2019;15,5;15,5;15,02;15,02;
13.11.2019;15,5;15,5;15,02;15,02;
12.11.2019;15,5;16;15,78;15,03;
11.11.2019;16;16;15,9;15,25;
08.11.2019;16;16;15,05;15,05;
07.11.2019;16;16;15,05;15,05;
05.11.2019;16;15,5;16;15,15;
04.11.2019;15,5;15,5;15,6;15,02;
31.10.2019;15,5;15,5;15,6;15,6;
