Date,close,open,high,low
43564,70.61,71.19,71.34,70.3
43565,71.73,70.82,71.78,70.57
43566,70.83,71.56,71.68,70.57
43567,71.55,70.95,71.87,70.9
43570,71.18,71.55,71.6,70.78
43571,71.72,71.21,71.95,70.74
43572,71.62,71.83,72.27,71.45
43573,71.97,71.63,72.04,71.2
43577,74.04,71.93,74.52,71.86
43578,74.51,74.38,74.73,73.99
43579,74.57,74.27,74.73,74.02
43580,74.35,74.46,75.6,74
43581,72.15,74.2,74.42,71.3
43584,72.04,71.56,72.5,71.06
43585,72.8,71.94,73.27,71.73
43586,72.18,71.73,72.36,71.3
43587,70.75,72,72.22,69.68
43588,70.85,70.48,71.54,69.95
43591,71.24,70.59,71.79,68.79
43592,69.88,71.15,71.33,69.38
43593,70.37,69.88,70.7,69.33
43594,70.39,70.23,70.65,69.4
43595,70.62,70.45,71.23,70.18
43598,70.23,70.83,72.58,69.72
43599,71.24,70.02,71.65,69.93
43600,71.77,70.9,72.25,70.42
43601,72.62,72.05,73.36,71.82
43602,72.21,72.82,73.23,71.79
43605,71.97,72.5,73.4,71.6
43606,72.18,72.15,72.52,71.63
43607,70.99,71.91,72.04,70.42
43608,67.76,70.86,70.97,67.02
43609,68.69,67.99,69.3,67.33
43612,70.11,69.15,70.23,68.53
43613,70.11,69.99,70.59,69.58
43614,69.45,70.1,70.1,68.08
43615,66.87,69.68,69.96,66.31
43616,64.49,66.24,66.28,64.37
43619,61.28,61.64,62.84,60.55
43620,61.97,61,62.12,60.21
43621,60.63,61.58,62.27,59.45
43622,61.67,60.4,62.43,60.22
43623,63.29,62.4,63.59,61.77
43626,62.29,63.58,64.1,62.05
43627,62.29,62.3,62.87,62.01
43628,59.97,61.79,61.85,59.57
43629,61.31,59.94,62.64,59.78
43630,62.01,61.25,62.57,60.74
43633,60.94,62.07,62.37,60.74
43634,62.14,60.93,62.84,60.25
43635,61.82,62.4,62.55,61.4
43636,64.45,62.45,64.82,62.4
43637,65.2,64.86,65.76,64
43640,64.86,65.5,65.79,64.08
43641,65.05,64.89,65.98,64.17
43642,66.49,65.8,66.85,65.6
43643,66.55,66.05,66.82,65.63
43644,66.55,66.51,66.84,66.08
43647,65.06,65.05,66.75,64.22
43648,62.4,64.8,65.51,62.22
43649,63.82,62.9,64.01,62.09
43650,63.3,63.88,64.07,62.95
43651,64.23,63.27,64.52,62.91
43654,64.11,64.34,65.14,63.79
43655,64.16,63.81,64.75,63.76
43656,67.01,64.78,67.12,64.63
43657,66.52,66.81,67.65,66.43
43658,66.72,66.83,67.29,66.51
43661,66.48,66.87,67.47,66.11
43662,64.35,66.31,67.09,63.82
43663,63.66,64.44,65.28,63.22
43664,61.93,63.52,64.46,61.29
43665,62.47,62.5,63.37,61.83
43668,63.26,63.05,64.03,62.77
43669,63.83,63.26,64.46,62.66
43670,63.18,64.13,64.66,62.59
43671,63.39,63.21,64.23,63.01
43672,63.46,63.28,63.96,63.01
43675,63.71,63.32,63.9,62.92
43676,64.72,63.91,65.14,63.9
43677,65.17,64.95,65.42,64.95
43678,60.5,64.09,64.54,60.02
43679,61.89,61.16,62.95,60.98
43682,59.81,61.46,61.56,59.66
43683,58.94,59.56,60.56,58.55
43684,56.23,58.68,59.23,55.88
43685,57.38,57.48,58.01,56.77
43686,58.53,57.74,59.1,57.11
43689,58.57,58.3,58.88,57.88
43690,61.3,58.47,61.5,58
43691,59.48,61.07,61.08,58.21
43692,58.23,59.07,59.42,57.67
#N/D
43696,59.74,58.72,59.92,58.64
43697,60.03,59.68,60.32,58.95
43698,60.3,60.11,61.41,60.07
43699,59.92,60.43,60.89,59.47
#N/D
43703,58.7,58.35,60.17,58.24
43704,59.51,58.8,60.17,58.51
43705,60.49,60.04,61,59.8
43706,61.08,60.48,61.19,59.98
43707,60.43,60.98,61.17,60.25
43710,58.66,58.8,59.26,58.1
43711,58.26,58.54,58.87,57.23
43712,60.7,58.17,60.96,58.13
43713,60.95,60.49,62.4,60.25
43714,61.54,60.81,61.88,59.4
43717,62.59,61.6,63,61.57
43718,62.38,62.82,63.78,62.17
43719,60.81,62.88,63.27,60.52
43720,60.38,61.16,61.39,58.92
43721,60.22,60.45,60.81,59.6
43724,69.02,66.45,71.95,64.75
43725,64.55,68.15,69.26,63.55
43726,63.6,64.23,64.99,63.04
43727,64.4,63.51,65.57,63.46
43728,64.28,65,65.28,64.05
43731,64.77,65.23,65.5,63.53
43732,63.1,64.4,64.6,62.3
43733,62.39,62.44,62.81,61.23
43734,62.74,62.58,62.92,61.45
43735,61.91,62.48,62.75,60.76
43738,60.78,62.24,62.24,60.73
43739,58.89,59.38,60.1,58.41
43740,57.69,59.25,59.5,57.22
43741,57.71,57.54,57.99,56.15
43742,58.37,57.69,58.96,57.67
43745,58.35,58.02,59.68,58.02
43746,58.24,58.47,58.92,57.38
43747,58.32,58.02,59.35,57.91
43748,59.1,58.04,59.6,57.8
43749,60.51,59.53,60.69,59.21
43752,59.35,60.69,60.73,58.5
43753,58.74,59.3,59.68,58
43754,59.42,58.9,59.75,58.36
43755,59.91,58.99,60.04,58.69
43756,59.42,59.78,60.29,59.01
43759,58.96,59.23,59.55,58.26
43760,59.7,59.05,60.26,58.75
43761,61.17,59.48,61.3,58.85
43762,61.67,60.99,61.9,60.64
43763,62.02,61.5,62.11,60.93
43766,61.57,62.04,62.34,61.19
43767,61.59,61.61,61.98,60.66
43768,60.61,61.6,61.93,60.45
43769,60.23,60.57,61.13,60.07
43770,61.69,59.45,61.82,59.4
43773,62.13,61.8,62.78,61.28
43774,62.96,62.04,63.19,61.85
43775,61.74,62.78,63.32,61.59
43776,62.29,61.73,62.89,61.65
43777,62.51,62.29,62.7,60.66
43780,62.18,62.6,62.76,61.57
43781,62.06,62.11,62.85,61.82
43782,62.37,61.85,62.74,61.22
43783,62.28,62.61,63.21,62.15
43784,63.3,62.47,63.65,61.7
43787,62.44,63.36,63.57,61.94
43788,60.91,62.28,62.57,60.7
43789,62.4,60.94,62.8,60.3
43790,63.97,62.22,64.03,61.92
43791,63.39,63.62,64.27,62.98
43794,63.65,63.6,63.8,62.97
43795,64.27,63.7,64.32,63.44
43796,64.06,64.02,64.6,63.51
43797,63.87,63.91,64,63.19
43798,62.43,63.77,63.86,62.36
43801,60.92,60.73,62.09,60.72
43802,60.82,61.05,61.58,60.3
43803,63,61.08,63.51,61
43804,63.39,62.97,63.91,62.75
43805,64.39,63.41,64.88,62.83
43808,64.25,64.29,64.5,63.61
43809,64.34,64.03,64.69,63.78
43810,63.72,64,64.26,63.01
43811,64.2,63.9,64.85,63.87
43812,65.22,64.56,65.79,64.5
43815,65.34,65.05,65.66,64.88
43816,66.1,65.31,66.24,65.12
43817,66.17,65.84,66.43,65.56
43818,66.54,66.19,66.78,66.03
43819,66.14,66.56,66.72,65.7
43822,66.39,66.15,66.62,65.81
43823,67.2,66.44,67.26,66.36
43825,67.92,67.27,67.99,67.22
43826,68.16,67.91,68.33,67.57
43829,68.44,68.2,68.99,68.16
43830,66,66.65,66.93,65.63
43832,66.25,66.41,66.58,65.72
43833,68.6,66.28,69.5,66.22
43836,68.91,69.35,70.74,68.21
43837,68.27,68.63,68.75,67.65
43838,65.44,71.22,71.75,64.94
43839,65.37,66,66.1,64.56
43840,64.98,65.29,65.66,64.86
43843,64.2,65.13,65.27,63.92
43844,64.49,64.29,65.05,63.92
43845,64,64.44,64.6,63.55
43846,64.62,64.26,64.97,63.9
43847,64.85,64.69,65.6,64.48
43850,65.2,65.98,66,64.92
43851,64.59,65.26,65.35,64.06
43852,63.21,64.57,64.58,62.62
43853,62.04,62.68,62.69,61.25
43854,60.69,62.01,62.46,60.25
43857,59.32,60.23,60.49,58.5
43858,59.51,59.03,60.12,58.5
43859,59.81,59.86,60.62,59.26
43860,58.29,59.6,59.65,57.71
43861,58.16,59.3,59.45,57.94
43864,54.45,56.16,56.77,54.08
43865,53.96,54.33,55.65,53.69
43866,55.28,54.05,56.46,54.05
43867,54.93,55.56,56.58,54.25
43868,54.47,55.14,55.4,54.21
43871,53.27,54.2,54.71,53.11
43872,54.01,53.62,54.69,53.6
43873,55.79,54.41,56.36,54.39
43874,56.34,55.75,56.83,54.96
43875,57.32,56.41,57.53,56.15
43878,57.67,57.29,57.7,56.83
43879,57.75,57.35,57.83,56.3
43880,59.12,57.6,59.4,57.51
43881,59.31,59.31,60,58.9
43882,58.5,59,59.25,57.73
43885,56.3,57.85,57.86,55.13
43886,54.95,56.46,56.98,54.62
43887,53.43,55.13,55.45,53.03
43888,52.18,53.18,53.25,50.97
43889,50.52,51.42,51.52,50.05
43892,51.9,48.95,53.2,48.4
43893,51.86,53.47,53.9,51.22
43894,51.13,52.11,53.03,51.04
43895,49.99,51.66,52.04,49.7
43896,45.27,50.25,50.45,45.18
43899,34.36,38.28,38.34,31.02
43900,37.22,35.84,38.22,35
43901,35.79,37.27,39.7,35.35
43902,33.22,35.99,36.46,32.5
43903,33.85,32.85,36.15,32.5
43906,30.05,35.82,35.84,29.45
43907,28.73,30.14,31.25,28.5
43908,24.88,28.4,29.21,24.52
43909,28.47,27.19,29.42,24.96
43910,26.98,28.1,30.94,26.81
43913,27.03,26.75,27.54,24.68
43914,27.15,27.72,28.65,26.69
43915,27.39,27.8,28.29,25.68
43916,26.34,27.35,27.75,26.03
43917,24.93,26.68,27,24.13
43920,22.76,23.85,24.44,21.65
43921,22.74,23,23.87,22.59
43922,24.74,25.99,26.28,24.52
43923,29.94,25.61,36.29,25.45
43924,34.11,29.89,35,28.25
43927,33.05,31.76,34.24,30.03
43928,31.87,33.66,34.18,31.74
43929,32.84,32.63,33.87,31.54
43930,31.48,33.82,36.4,31.18
43934,31.74,33.99,33.99,30.63
43935,29.6,32.25,32.32,29.38
43936,27.69,30.26,30.33,27.16
43937,27.82,28.05,29,27.2
43938,28.08,28.66,28.93,27.58
43941,25.57,28.05,28.25,25.37
43942,19.33,26.33,26.5,17.51
43943,20.37,20.23,22.45,15.98
43944,21.33,20.89,23.22,20.07
43945,21.44,21.93,22.7,20.5
43948,19.99,21.55,21.91,19.11
43949,20.46,19.9,21.29,18.73
43950,22.54,20.66,23.88,20.53
43951,25.27,22.87,25.76,22.87
43952,26.44,26.95,27.88,25.76
43955,27.2,26.1,28.08,25.5
43956,30.97,28.1,32.06,27.77
43957,29.72,32.27,32.27,28.66
43958,29.46,29.64,31.84,29.08
43959,30.97,29.6,31.14,29.43
43962,29.63,30.7,31.47,29.35
43963,29.98,30.07,30.7,29.35
43964,29.19,29.35,30.55,28.86
43965,31.13,29.52,31.55,28.88
43966,32.5,31.52,32.91,30.94
43969,34.81,32.78,35.72,32.69
43970,34.65,35.66,35.76,34.2
43971,35.75,34.45,36.46,34.38
43972,36.06,35.82,36.98,35.75
43973,35.13,36.18,36.23,33.54
43976,35.53,34.98,35.97,34.46
43977,36.17,35.66,36.68,35.26
43978,34.74,35.93,36.16,33.98
43979,35.29,33.92,35.95,33.62
43980,35.33,35.15,35.37,34.06
43983,38.32,37.56,38.68,37.18
43984,39.57,38.34,39.75,38.26
43985,39.79,39.75,40.53,38.76
43986,39.99,39.6,40.1,39.04
43987,42.3,39.84,42.48,39.72
43990,40.8,42.4,43.41,40.68
